ticket_id,opened_at,channel,category,priority,status,first_response_hours,resolution_hours,csat_score
TCK-3073,2026-01-15 08:00,Email,General inquiry,Medium,Resolved,4,12,4
TCK-3074,2026-01-11 08:00,Chat,Refund,High,Escalated,5,,
TCK-3075,2026-01-31 09:00,Email,Refund,Medium,Escalated,12,,
TCK-3076,2026-01-10 14:00,App,Payment issue,High,Resolved,1,49,4
TCK-3077,2026-01-12 14:00,Chat,Delivery issue,Medium,Open,,,
TCK-3078,2026-01-11 16:00,App,Refund,High,Resolved,8,26,4
TCK-3079,2026-01-18 11:00,Chat,Payment issue,High,Resolved,4,22,5
TCK-3080,2026-01-02 12:00,Email,Payment issue,Low,Resolved,8,56,3
TCK-3081,2026-01-07 12:00,Email,Account issue,Medium,Resolved,18,36,4
TCK-3082,2026-01-07 19:00,Email,Account issue,High,Escalated,12,,
TCK-3083,2026-01-31 15:00,Email,Account issue,Medium,Open,,,
TCK-3084,2026-01-20 22:00,Call Center,General inquiry,High,Resolved,8,32,5
TCK-3085,2026-01-07 10:00,Call Center,Delivery issue,Low,Resolved,2,26,5
TCK-3086,2026-01-05 12:00,Email,Payment issue,Low,Resolved,12,48,4
TCK-3087,2026-01-07 18:00,Chat,Payment issue,Low,Resolved,2,26,3
TCK-3088,2026-01-23 12:00,Call Center,Account issue,Low,Resolved,4,16,4
TCK-3089,2026-01-13 21:00,App,Account issue,High,Resolved,3,15,4
TCK-3090,2026-01-29 14:00,Chat,Delivery issue,Low,Open,,,
TCK-3091,2026-01-06 12:00,App,Refund,Low,Resolved,5,29,3
TCK-3092,2026-01-20 10:00,Email,Refund,High,Resolved,4,52,3
TCK-3093,2026-01-18 12:00,Chat,Refund,Medium,Open,,,
TCK-3094,2026-01-22 18:00,App,General inquiry,Medium,Resolved,1,5,5
TCK-3095,2026-01-23 08:00,Email,Account issue,Medium,Resolved,2,6,3
TCK-3096,2026-01-14 19:00,App,Account issue,High,Escalated,4,,
TCK-3097,2026-01-31 14:00,Call Center,General inquiry,High,Escalated,8,,
TCK-3098,2026-01-02 18:00,Email,Refund,Medium,Escalated,12,,
TCK-3099,2026-01-25 11:00,Email,Payment issue,Low,Escalated,5,,
TCK-3100,2026-01-18 12:00,Chat,Refund,Medium,Resolved,1,9,3
TCK-3101,2026-01-07 18:00,Call Center,Payment issue,Medium,Open,,,
TCK-3102,2026-01-23 11:00,Chat,Payment issue,Low,Resolved,18,26,4
TCK-3103,2026-01-19 17:00,Call Center,Payment issue,Medium,Resolved,8,44,4
TCK-3104,2026-01-20 15:00,App,Account issue,High,Resolved,4,8,5
TCK-3105,2026-01-07 08:00,App,Account issue,Low,Resolved,5,17,5
TCK-3106,2026-01-31 09:00,Chat,Account issue,Medium,Open,,,
TCK-3107,2026-01-06 16:00,Call Center,Delivery issue,Low,Open,,,
TCK-3108,2026-01-24 19:00,Call Center,Refund,Medium,Open,,,
TCK-3109,2026-01-07 20:00,Chat,General inquiry,Medium,Resolved,1,13,4
TCK-3110,2026-01-21 11:00,App,Refund,Low,Resolved,3,39,4
TCK-3111,2026-01-10 13:00,Chat,Refund,Medium,Resolved,3,7,4
TCK-3112,2026-01-21 21:00,Email,General inquiry,Medium,Resolved,8,16,4
TCK-3113,2026-01-27 21:00,App,General inquiry,Medium,Resolved,4,8,5
TCK-3114,2026-01-29 08:00,Email,Account issue,Medium,Open,,,
TCK-3115,2026-01-20 17:00,Email,Payment issue,Low,Resolved,3,39,5
TCK-3116,2026-01-21 14:00,Call Center,Payment issue,Low,Open,,,
TCK-3117,2026-01-07 19:00,Call Center,Payment issue,Medium,Escalated,1,,
TCK-3118,2026-01-10 09:00,Call Center,Delivery issue,Low,Resolved,12,24,4
TCK-3119,2026-01-29 19:00,Call Center,General inquiry,Medium,Resolved,12,24,4
TCK-3120,2026-01-19 11:00,Call Center,Refund,High,Resolved,2,26,5
TCK-3121,2026-01-30 18:00,App,Delivery issue,Medium,Escalated,12,,
TCK-3122,2026-01-24 18:00,Call Center,Account issue,Medium,Escalated,5,,
TCK-3123,2026-01-16 18:00,App,Payment issue,Medium,Resolved,5,53,4
TCK-3124,2026-01-22 19:00,Chat,General inquiry,High,Escalated,2,,
TCK-3125,2026-01-19 14:00,Call Center,Account issue,Medium,Open,,,
TCK-3126,2026-01-04 11:00,Email,Account issue,Medium,Resolved,4,28,3
TCK-3127,2026-01-07 16:00,Call Center,Payment issue,Medium,Escalated,18,,
TCK-3128,2026-01-18 17:00,App,Refund,Low,Open,,,
TCK-3129,2026-01-05 21:00,Email,Payment issue,Low,Open,,,
TCK-3130,2026-01-19 15:00,App,Refund,Low,Escalated,3,,
TCK-3131,2026-01-08 08:00,Email,Refund,Medium,Escalated,1,,
TCK-3132,2026-01-10 09:00,Email,General inquiry,Medium,Escalated,12,,
TCK-3133,2026-01-04 22:00,App,Account issue,Medium,Resolved,3,15,3
TCK-3134,2026-01-08 13:00,Chat,Delivery issue,Medium,Escalated,18,,
TCK-3135,2026-01-12 16:00,Chat,Account issue,Medium,Resolved,2,6,4
TCK-3136,2026-01-23 15:00,Call Center,Delivery issue,Low,Resolved,18,22,3
TCK-3137,2026-01-26 12:00,Call Center,Payment issue,Medium,Resolved,3,27,5
TCK-3138,2026-01-29 12:00,Chat,Payment issue,Medium,Resolved,18,22,5
TCK-3139,2026-01-17 15:00,Call Center,Refund,Low,Resolved,1,5,4
TCK-3140,2026-01-23 21:00,App,Account issue,High,Escalated,12,,
TCK-3141,2026-01-11 16:00,App,Payment issue,Medium,Escalated,5,,
TCK-3142,2026-01-06 21:00,Call Center,Refund,Medium,Escalated,18,,
TCK-3143,2026-01-30 13:00,Call Center,Account issue,Medium,Escalated,1,,
TCK-3144,2026-01-08 08:00,Email,Payment issue,Medium,Resolved,18,42,4
TCK-3145,2026-01-13 12:00,Email,Delivery issue,Low,Escalated,5,,
TCK-3146,2026-01-30 16:00,App,Account issue,Low,Open,,,
TCK-3147,2026-01-26 12:00,Chat,Account issue,Medium,Resolved,3,39,4
TCK-3148,2026-01-17 21:00,Call Center,Account issue,Medium,Escalated,8,,
TCK-3149,2026-01-02 19:00,Chat,Payment issue,Medium,Open,,,
TCK-3150,2026-01-26 11:00,App,Refund,Medium,Resolved,3,11,5
TCK-3151,2026-01-15 14:00,Email,Account issue,Medium,Resolved,3,27,4
TCK-3152,2026-01-09 19:00,App,General inquiry,Medium,Escalated,2,,
TCK-3153,2026-01-06 12:00,App,Refund,Medium,Open,,,
TCK-3154,2026-01-11 22:00,App,Payment issue,Medium,Escalated,5,,
TCK-3155,2026-01-21 12:00,Call Center,Refund,Medium,Resolved,1,9,4
TCK-3156,2026-01-29 17:00,App,Payment issue,Medium,Resolved,2,10,5
TCK-3157,2026-01-02 09:00,App,Payment issue,Low,Resolved,8,44,4
TCK-3158,2026-01-18 18:00,Chat,Account issue,Low,Resolved,8,12,3
TCK-3159,2026-01-21 15:00,Call Center,Delivery issue,High,Resolved,8,16,3
TCK-3160,2026-01-21 17:00,Chat,Refund,Medium,Open,,,
